What is your level of education?;How many years of professional experience do you have as a software developer?;What is your main programming language?;Have you heard about the SOLID software design principles?;Which SOLID principles do you know? (Select all that apply);How often do you think about the SOLID principles when writing code?;On a scale from very easy to very difficult, how do you rate the difficulty of applying each SOLID principle? [Single Responsibility Principle (SRP)];On a scale from very easy to very difficult, how do you rate the difficulty of applying each SOLID principle? [Open/Closed Principle (OCP)];On a scale from very easy to very difficult, how do you rate the difficulty of applying each SOLID principle? [Liskov Substitution Principle (LSP)];On a scale from very easy to very difficult, how do you rate the difficulty of applying each SOLID principle? [Interface Segregation Principle (ISP)];On a scale from very easy to very difficult, how do you rate the difficulty of applying each SOLID principle? [Dependency Inversion Principle (DIP)];"Are you familiar with the concept of ""code smells""?";Which of the following code smells do you recognize? (Select all that apply);Which SOLID principle would you apply to improve the design when handling the ”duplicated code” code smell?;"Which SOLID principle would you apply to improve the design when handling the ""long method"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""large class"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""divergent change"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""shotgun surgery"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""data clumps"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""primitive obsession"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""repeated switches"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""temporary field"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""refused bequest"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""alternative classes with different interfaces"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""global data"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""lazy element"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""speculative generality"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""feature envy"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""inappropriate intimacy"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""message chains"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""middleman"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""mutable data"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""loops"" code smell?";"Which SOLID principle would you apply to improve the design when handling the ""data classes"" code smell?";
Postgraduate degree;4-6 year;Typescript;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Occasionally (A few times a month);Very Easy;Moderate;Moderate;Very Easy;Moderate;Yes;Duplicated code, Long methods, Primitive obsession,Large class;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Dependency Inversion Principle (DIP);I don’t know this code smell;I don’t know this code smell;Interface Segregation Principle (ISP);Liskov Substitution Principle (LSP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Master's degree;7-10 year;Java;Yes;Open/Closed Principle (OCP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Frequently (A few times a week);Very Easy;Very Easy;Very Easy;Very Easy;Very Easy;Yes;Duplicated code, Repeated switches,Large class, Alternative classes with different interfaces, Refused bequest;Open/Closed Principle (OCP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Open/Closed Principle (OCP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Open/Closed Principle (OCP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);
Completed undergraduate degree;4-6 year;PHP;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Frequently (A few times a week);Easy;Moderate;Moderate;Easy;Very Easy;Yes;Duplicated code, Long methods, Global data, Mutable data,Divergent change, Shotgun surgery, Feature envy, Data clumps, Primitive obsession, Repeated switches, Loops, Lazy element, Speculative generality, Temporary field,Message chains, Middleman, Inappropriate intimacy,Large class, Alternative classes with different interfaces, Data classes, Refused bequest;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Open/Closed Principle (OCP);Single Responsibility Principle (SRP);;None of the principles can be applied;Liskov Substitution Principle (LSP);;Dependency Inversion Principle (DIP);Interface Segregation Principle (ISP);Single Responsibility Principle (SRP);None of the principles can be applied;Single Responsibility Principle (SRP);Dependency Inversion Principle (DIP);Interface Segregation Principle (ISP);Liskov Substitution Principle (LSP);Open/Closed Principle (OCP);I don’t know this code smell;None of the principles can be applied;None of the principles can be applied;
Completed undergraduate degree;4-6 year;Typescript;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Always (Every day);Easy;Easy;Moderate;Moderate;Moderate;Yes;Duplicated code, Long methods,Divergent change, Data clumps, Repeated switches, Temporary field,Large class;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);I don’t know this code smell;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Open/Closed Principle (OCP);Single Responsibility Principle (SRP);Liskov Substitution Principle (LSP);Interface Segregation Principle (ISP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Completed undergraduate degree;4-6 year;C#;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Occasionally (A few times a month);Very Easy;Easy;Moderate;Easy;Easy;Yes;Duplicated code, Long methods, Primitive obsession,Large class, Alternative classes with different interfaces;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;None of the principles can be applied;None of the principles can be applied;I don’t know this code smell;I don’t know this code smell;Interface Segregation Principle (ISP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Completed undergraduate degree;7-10 year;Java;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Always (Every day);Very Easy;Easy;Hard;Very Easy;Moderate;Yes;Duplicated code, Long methods,Large class;Interface Segregation Principle (ISP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
High school diploma;1-3 year;Typescript;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Frequently (A few times a week);Easy;Moderate;Hard;Hard;Moderate;Yes;Duplicated code, Long methods, Global data, Mutable data, Repeated switches, Temporary field;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;Interface Segregation Principle (ISP);Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Completed undergraduate degree;4-6 year;Javascript;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP);Frequently (A few times a week);Very Easy;Very Easy;Moderate;Moderate;Moderate;Yes;Duplicated code, Long methods, Global data, Shotgun surgery,Large class;None of the principles can be applied;Single Responsibility Principle (SRP);Single Responsibility Principle (SRP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Completed undergraduate degree;4-6 year;PHP;No;;Never;;;;;;No;;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
Incomplete undergraduate degree;1-3 year;C#;Yes;Single Responsibility Principle (SRP), Open/Closed Principle (OCP),Liskov Substitution Principle (LSP),Interface Segregation Principle (ISP), Dependency Inversion Principle (DIP);Occasionally (A few times a month);Easy;Very Hard;Moderate;Moderate;Easy;Yes;Duplicated code, Long methods,Large class;Interface Segregation Principle (ISP);Single Responsibility Principle (SRP);Interface Segregation Principle (ISP);Dependency Inversion Principle (DIP);Liskov Substitution Principle (LSP);Open/Closed Principle (OCP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;Interface Segregation Principle (ISP);I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;I don’t know this code smell;
